developer,owners
Monogon Games,100000
Matthew Brown,100000
Jeff Nusz,100000
KEXBOY,100000
Smartbig Corportion,100000
Munchkin's Lair,100000
Jalomot Ltda.,100000
NHTV Breda University of Applied Sciences,100000
Jakal Studios,100000
NIMONIX,100000
NMC Studios,100000
Martijn de Vree,100000
Johannes Fischer,100000
Team Summer Nightmare,100000
"Mindshow, Inc.",100000
JoongWon Games,100000
Taylor Stapleton,100000
Metanaut,100000
Mermaid VR Inc.,100000
Team B.R.O.S.,100000
Mercator,100000
"Joyloft Co., Limited",100000
Mekiwi,100000
Specter Game Studios,100000
Michael Hütter,100000
Team DOTS,100000
Mindful Mammoth,100000
Microsoft Game Studios,100000
"Source Technology Co., Ltd.",100000
Source Studio Ltd.,100000
SoundAndFuryGames,100000
Millenium Project Enterprises,100000
Sound Slide Team,100000
Mechanical Boss,100000
Jon Sudbury Games,100000
Jon Gallant,100000
Naev Team,100000
Jak Wilmot,100000
TernGame,100000
José Fernando Gracia,100000
Shugasu GmbH,100000
Manipulation Machine,100000
Kastriot Sulejmani,100000
Omey Salvi,100000
Shenzhen BeanVR Technology Co.Ltd,100000
Orange Cat Studio,100000
OrangesGame Technology Limited,100000
StarworkGC,100000
Independent Arts Software,100000
MadOut Games,100000
Ntroy LTD,100000
Mad Labyrinth Studios LLC,100000
Serkan Bakar,100000
Imperia Online JSC,100000
"TALESSHOP Co., Ltd.",100000
Steelehouse VR Studios,100000
MIROWIN,100000
Immersive VR Limited,100000
Immersive VR Education Ltd.,100000
Immersion,100000
Ionut Lucian Achiricioaei,100000
Iron 27,100000
SkyVu,100000
Isabelle Dela Torre,100000
Terry Kaleas,100000
LaboRatStudio,100000
Nemo Studios,100000
"The Abbot's Book, LLC",100000
The Archotek Project Team,100000
Top Shelf Studios,100000
Tamasenco,100000
The Body VR LLC,100000
Netdragon Websoft Inc,100000
Simple Ghost,100000
Silicon Jelly,100000
Talpel Games,100000
Simple Blue,100000
Simon Eberl,100000
Niek Oosterbaan,100000
The Game Bakery,100000
Nikita Online,100000
Silverlode Interactive,100000
Kai van Ommeren,100000
