dayofyear;2013;2014;2015;2016;2017;2018
114;;80640.41666666667;81303.29166666667;69525.66666666667;77484.83333333333;78470.875
115;;78983.25;75230.125;67292.75;79008.91666666667;76934.45833333333
116;;71317.04166666667;71190.70833333333;78074.95833333333;80119.20833333333;76520.875
117;;68920.91666666667;79786.54166666667;80525.0;80607.04166666667;71234.29166666667
118;;78543.04166666667;79368.20833333333;77988.58333333333;81471.5;70320.91666666667
119;;81578.375;78465.66666666667;78504.5;79648.45833333333;78914.83333333333
120;;82812.41666666667;77779.95833333333;77762.83333333333;77231.45833333333;78850.20833333333
121;;80501.0;77022.16666666667;70753.16666666667;82892.08333333333;83492.375
122;;78115.33333333333;70251.125;70247.33333333333;80607.16666666667;89518.75
123;;71176.83333333333;68964.95833333333;78403.54166666667;76978.45833333333;89091.45833333333
124;;68793.875;80727.91666666667;78242.91666666667;77149.54166666667;74507.45833333333
125;;77544.58333333333;83927.41666666667;77748.58333333333;78655.54166666667;69758.66666666667
126;;78944.83333333333;84614.25;78758.54166666667;70789.0;77927.04166666667
127;;79540.33333333333;86032.125;78103.25;68631.54166666667;80064.58333333333
128;;84453.29166666667;88777.875;70149.04166666667;77422.04166666667;81839.45833333333
129;;83816.625;80451.95833333333;66507.5;78205.91666666667;82835.04166666667
130;;74734.08333333333;80260.125;76717.16666666667;78220.16666666667;81522.91666666667
131;;72912.875;93043.41666666667;78053.0;78187.125;77703.375
132;;88891.04166666667;90320.79166666667;78854.0;76568.91666666667;74151.41666666667
133;;92549.66666666667;80168.83333333333;80028.95833333333;71225.08333333333;85186.08333333333
134;;84507.29166666667;78635.29166666667;77949.58333333333;68576.79166666667;91269.04166666667
135;;84444.95833333333;80093.33333333333;70261.75;78167.0;85554.20833333333
136;;81164.20833333333;79247.125;68329.20833333333;84095.04166666667;84552.5
137;;71519.29166666667;83228.375;77509.33333333333;94478.04166666667;81399.875
138;;68828.625;95085.375;77763.70833333333;101087.58333333333;75348.29166666667
139;;78588.20833333333;89923.95833333333;77561.08333333333;97205.45833333333;78902.33333333333
140;;81927.5;81467.375;77413.625;77037.83333333333;87184.45833333333
141;;86708.83333333333;78441.83333333333;76469.45833333333;70467.625;86295.5
142;;87275.16666666667;77085.20833333333;69989.70833333333;79151.41666666667;87969.375
143;;80934.0;69489.91666666667;68533.58333333333;79177.04166666667;89441.41666666667
144;;71716.625;70692.33333333333;78725.75;78573.45833333333;93508.625
145;;71710.54166666667;79285.25;82922.04166666667;79008.29166666667;92642.83333333333
146;;79692.45833333333;94852.83333333333;88693.08333333333;78571.125;89263.5
147;;96531.45833333333;98013.04166666667;94388.625;73464.04166666667;87640.95833333333
148;;92977.04166666667;98204.75;99327.0;71617.45833333333;100591.41666666667
149;;84667.83333333333;97290.125;92931.04166666667;74398.125;100275.45833333333
150;;83790.375;90978.29166666667;86137.16666666667;82141.375;100100.16666666667
151;96866.21739130435;78600.75;85798.625;86477.875;84415.0;99407.33333333333
152;89456.625;78366.5;87720.875;97596.54166666667;85391.16666666667;89778.25
153;90663.33333333333;91680.54166666667;81151.41666666667;98788.25;84561.45833333333;79568.875
154;85008.75;97389.54166666667;80032.0;95910.41666666667;78672.79166666667;82955.375
155;85768.625;93621.54166666667;83510.33333333333;94147.625;81147.58333333333;83565.83333333333
156;85048.25;88247.41666666667;84781.45833333333;86668.95833333333;87760.16666666667;81871.95833333333
157;83542.83333333333;85706.33333333333;78154.54166666667;83930.5;83224.58333333333;86425.58333333333
158;77794.625;81481.375;77586.95833333333;94576.08333333333;79249.33333333333;90813.875
159;80403.25;79876.41666666667;93059.875;91791.79166666667;80302.0;87989.91666666667
160;91906.33333333333;90161.29166666667;94526.5;81203.20833333333;84465.33333333333;81284.66666666667
161;95946.95833333333;94163.16666666667;98997.33333333333;81183.33333333333;86753.375;83289.04166666667
162;101021.58333333333;92561.625;105643.625;87555.16666666667;95464.29166666667;85969.04166666667
