developer,owners
Sekerin Productions,1000000
ArtemizGame,1000000
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",1000000
Hunter Studio,1000000
Blastoid Entertainment,1000000
5 Lives Studios,1000000
Campo Santo,1000000
Bankroll Studios,1000000
Leo B,1000000
Unreal Software,1000000
Dinosaur Polo Club,1000000
Holy Warp,1000000
Exe Games Inc.,1000000
Antimatter Games,1000000
Red Storm,1000000
BlankMediaGames,1000000
Holyday Studios,1000000
Superbrothers,1000000
Ubisoft Montréal,1000000
Oxide Games,1000000
Topware Interactive,1000000
"Lion Shield, LLC",1000000
Vertigo Games America,1000000
Skullcap Studios,1000000
Madruga Works,1000000
MiniBoss,1000000
Jasper Byrne,1000000
David Hensley,1000000
Mint Age Studios,1000000
Final Form Games,1000000
Those Awesome Guys,1000000
Russian Fishing,1000000
"Valkyrie Entertainment, LLC",1000000
Rusty Lake,1000000
Capcom Game Studio Vancouver,1000000
GamePrix,1000000
Jim Guthrie,1000000
Deck Nine,1000000
MachineGames,1000000
Bluebutton Games,1000000
FarSight Studios,1000000
AN Productions,1000000
Joey Drew Studios Inc.,1000000
SDEnterNet,1000000
Planetary Annihilation Inc,1000000
Related Designs,1000000
Clever Endeavour Games,1000000
PlatinumGames Inc.,1000000
Phosphor Games Studio,1000000
Alex Quick,1000000
Alex Piola,1000000
Thomas M. Visser,1000000
Teeworlds Team,1000000
Big Fat Alien,1000000
tinyBuild,1000000
Young Horses,1000000
Quantum Phoenix Studio,1000000
Mastfire Studios Pty Ltd,1000000
"Thekla, Inc.",1000000
[geim].pro,1000000
14° East,1000000
YoudaGames,1000000
The Astronauts,1000000
Marxnet,1000000
JForce Games,1000000
Counterplay Games Inc.,1000000
Cosmic Cow LLC,1000000
Alan Edwardes,1000000
Bernt Andreas Eide,1000000
Test3 Projects,1000000
EasyAntiCheat Ltd,1000000
"Tequila Works, S.L.",1000000
Southend,1000000
Ascaron Entertainment ltd.,1000000
Ascaron,1000000
Tribe Studios,1000000
Felistella,1000000
Eleon Game Studios,1000000
Reakktor Studios,1000000
Steel Crate Games,1000000
Cylinder Studios,1000000
Ghost Ship Games,1000000
Zombie Panic Team,1000000
GhostShark,1000000
Neople,1000000
Allods Team,1000000
Bugbear,1000000
Blue Manchu,1000000
Gaming Minds Studios,1000000
Tarsier Studios,1000000
The Indie Stone,1000000
Bulkhead Interactive,1000000
Cloud 9 Studio,1000000
Dry Cactus,1000000
Saibot Studios,1000000
Giant Squid,1000000
BeamNG,1000000
Buka Game Studio,1000000
Big Corporation,1000000
"SUPERTRICK  GAMES,Inc.",1000000
Redro Games,1000000
Beam Team Games,1000000
Nik Nak Studios,1000000
Deconstructeam,1000000
"Artix Entertainment, LLC",1000000
Lunarch Studios,1000000
Wulo Games,1000000
Mohawk Games,1000000
Elijah Newman-Gomez,1000000
Ty Taylor and Mario Castañeda,1000000
"Cloudcade, Inc.",1000000
Digital Reality,970000
Wadjet Eye Games,970000
5Wolf,950000
Silent Dreams,950000
Studio48,940000
Alawar Entertainment,930000
Digital Melody,930000
Dexion Games,930000
Tequila Works,920000
White Dog,920000
Sierra,920000
Mighty Rabbit Studios,920000
Puppygames,920000
Ludosity,910000
RewindApp,910000
YarGri,900000
Mediatonic,900000
Sonic Team,900000
Spectrum Games,900000
1C-SoftClub,900000
Codemasters Birmingham,900000
Brimo Studio,900000
Altar Games,900000
Artefacts Studios,900000
Game-Labs,900000
Egor Magurin,900000
BlueLine Games,890000
Peace,890000
Orange_Juice,870000
Double Eleven,870000
Alda Games,870000
SharkGame,850000
Vile Monarch,850000
Alexey Davydov,850000
nobodyshot,850000
Atomic Fabrik,850000
Cristian Manolachi,850000
Falcoware,850000
Racing Bros,840000
ProjectorGames,840000
Capybara Games,840000
Axyos Games,840000
SimProse Studios,840000
Luden.io,840000
Hosted Games,840000
Nekyau Games,820000
Matt Roszak,820000
Nickervision Studios,820000
Paper Pirates,820000
Iron Galaxy,820000
3 Sprockets,820000
上海烛龙信息科技有限公司,800000
Ironhide Game Studio,800000
State of Play Games,800000
Edmund McMillen,800000
Broken Rules,800000
"BadFly Interactive, a.s.",800000
Funatics Software,800000
upjers,790000
Vertigo Gaming Inc.,790000
L. Stotch,790000
